gene	DFCIDL001_DT	DFCIDL002_DT	DFCIDL003_DT	DFCIDL004_DT	DFCIDL007_DT	DFCIDL008_DT	DFCIDL009_DT	DFCIDL010_DT	DLBCL_BWH_DLBCL64	DLBCL_c_D_1103_nullpair	DLBCL_c_D_1104_nullpair	DLBCL_c_D_1105_nullpair	DLBCL_c_D_1106_nullpair	DLBCL_c_D_1107_nullpair	DLBCL_c_D_1108_nullpair	DLBCL_c_D_1109_nullpair	DLBCL_c_D_1110_nullpair	DLBCL_c_D_1111_nullpair	DLBCL_c_D_1112_nullpair	DLBCL_c_D_1113_nullpair	DLBCL_c_D_1114_nullpair	DLBCL_c_D_1115_nullpair	DLBCL_c_D_1117_nullpair	DLBCL_c_D_1118_nullpair	DLBCL_c_D_1119_nullpair	DLBCL_c_D_1120_nullpair	DLBCL_c_D_1121_nullpair	DLBCL_c_D_1123_nullpair	DLBCL_c_D_1124_nullpair	DLBCL_c_D_1125_nullpair	DLBCL_c_D_1126_nullpair	DLBCL_c_D_1127_nullpair	DLBCL_c_D_1128_nullpair	DLBCL_c_D_1129_nullpair	DLBCL_c_D_1130_nullpair	DLBCL_c_D_1131_nullpair	DLBCL_c_D_1132_nullpair	DLBCL_c_D_1133_nullpair	DLBCL_c_D_1134_nullpair	DLBCL_c_D_1135_nullpair	DLBCL_c_D_1136_nullpair	DLBCL_c_D_1138_nullpair	DLBCL_c_D_1139_nullpair	DLBCL_c_D_1140_nullpair	DLBCL_c_D_1141_nullpair	DLBCL_c_D_1142_nullpair	DLBCL_c_D_1144_nullpair	DLBCL_c_D_1145_nullpair	DLBCL_c_D_1146_nullpair	DLBCL_c_D_1147_nullpair	DLBCL_c_D_1148_nullpair	DLBCL_c_D_1149_nullpair	DLBCL_c_D_1150_nullpair	DLBCL_c_D_1151_nullpair	DLBCL_c_D_1152_nullpair	DLBCL_c_D_1153_nullpair	DLBCL_c_D_1154_nullpair	DLBCL_c_D_1155_nullpair	DLBCL_c_D_1156_nullpair	DLBCL_c_D_1157_nullpair	DLBCL_c_D_1158_nullpair	DLBCL_c_D_1159_nullpair	DLBCL_c_D_1162_nullpair	DLBCL_c_D_1163_nullpair	DLBCL_c_D_1166_nullpair	DLBCL_c_D_pair13	DLBCL_c_D_pair2	DLBCL_c_D_pair20	DLBCL_c_D_pair22	DLBCL_c_D_pair23	DLBCL_c_D_pair5	DLBCL_c_D_pair9	DLBCL_DFCI_DLBCL_Goe05	DLBCL_DFCI_DLBCL_Goe07	DLBCL_DFCI_DLBCL_Goe08	DLBCL_DFCI_DLBCL_Goe16	DLBCL_DFCI_DLBCL_Goe17	DLBCL_LS1065	DLBCL_LS1098	DLBCL_LS1304	DLBCL_LS1395	DLBCL_LS146	DLBCL_LS148	DLBCL_LS1546	DLBCL_LS155	DLBCL_LS1583	DLBCL_LS1620	DLBCL_LS1668	DLBCL_LS1683	DLBCL_LS1757	DLBCL_LS1899	DLBCL_LS1921	DLBCL_LS2089	DLBCL_LS2154	DLBCL_LS2208	DLBCL_LS2245	DLBCL_LS2258	DLBCL_LS2264	DLBCL_LS2305	DLBCL_LS2325	DLBCL_LS2328	DLBCL_LS2357	DLBCL_LS2367	DLBCL_LS2590	DLBCL_LS2595	DLBCL_LS2596	DLBCL_LS2599	DLBCL_LS2848	DLBCL_LS297	DLBCL_LS2978	DLBCL_LS3085	DLBCL_LS3200	DLBCL_LS3204	DLBCL_LS3219	DLBCL_LS3245	DLBCL_LS3271	DLBCL_LS3309	DLBCL_LS3387	DLBCL_LS3499	DLBCL_LS3615	DLBCL_LS3749	DLBCL_LS378	DLBCL_LS3808	DLBCL_LS3809	DLBCL_LS3820	DLBCL_LS3866	DLBCL_LS4054	DLBCL_LS4085	DLBCL_LS4222	DLBCL_LS4323	DLBCL_LS4394	DLBCL_LS4592	DLBCL_LS4593	DLBCL_LS4616	DLBCL_LS4618	DLBCL_LS4619	DLBCL_LS762	DLBCL_LS843	DLBCL_LS88	DLBCL_LS951	DLBCL_MAYO_DLBCL_234	DLBCL_MAYO_DLBCL_3653	DLBCL_MAYO_DLBCL_5613	DLBCL_MAYO_DLBCL_7359	DLBCL_MC_F064AB	DLBCL_MC_F089_HCZ	DLBCL_MC_F089_MLB	DLBCL_MC_F132_MLM	DLBCL_MC_F139_AD	DLBCL_MC_F139_LJF	DLBCL_MC_F210_GWC	DLBCL_MC_F218_RAP	DLBCL_MC_F231_CAO	DLBCL_MC_F262_WLC	DLBCL_MC_F300_TBF	DLBCL_MC_F307_JPS	DLBCL_MC_F339_JPS2	DLBCL_MC_F344_CJS	DLBCL_MC_F349_BJJ	DLBCL_MC_F358_WDS	DLBCL_MC_F362_MJB1	DLBCL_MC_F496DMP	DLBCL_MC_F500_ECU	DLBCL_MC_F502_RFK	DLBCL_MC_F519_ALT	DLBCL_MC_F606_DMJ	DLBCL_MC_F648_JKW	DLBCL_MC_F729_MAN	DLBCL_MC_F739_AMA3	DLBCL_MC_F815_BAT	DLBCL_MC_F886_EJH	DLBCL_MC_F925_DLR	DLBCL_MC_F927_JHS	DLBCL_MC_F959_ERM	DLBCL_MC_F990_MNA	DLBCL_RICOVER_1013	DLBCL_RICOVER_1018	DLBCL_RICOVER_102	DLBCL_RICOVER_1032	DLBCL_RICOVER_1045	DLBCL_RICOVER_1046	DLBCL_RICOVER_105	DLBCL_RICOVER_1060	DLBCL_RICOVER_1061	DLBCL_RICOVER_107	DLBCL_RICOVER_1072	DLBCL_RICOVER_1081	DLBCL_RICOVER_1106	DLBCL_RICOVER_111	DLBCL_RICOVER_1138	DLBCL_RICOVER_1144	DLBCL_RICOVER_1150	DLBCL_RICOVER_1165	DLBCL_RICOVER_1169	DLBCL_RICOVER_1190	DLBCL_RICOVER_1192	DLBCL_RICOVER_1199	DLBCL_RICOVER_120	DLBCL_RICOVER_1204	DLBCL_RICOVER_1210	DLBCL_RICOVER_1219	DLBCL_RICOVER_1235	DLBCL_RICOVER_1237	DLBCL_RICOVER_1247	DLBCL_RICOVER_1248	DLBCL_RICOVER_1257	DLBCL_RICOVER_126	DLBCL_RICOVER_1263	DLBCL_RICOVER_1269	DLBCL_RICOVER_1278	DLBCL_RICOVER_1283	DLBCL_RICOVER_1287	DLBCL_RICOVER_1289	DLBCL_RICOVER_1293	DLBCL_RICOVER_1299	DLBCL_RICOVER_1329	DLBCL_RICOVER_134	DLBCL_RICOVER_147	DLBCL_RICOVER_148	DLBCL_RICOVER_150	DLBCL_RICOVER_151	DLBCL_RICOVER_173	DLBCL_RICOVER_174	DLBCL_RICOVER_181	DLBCL_RICOVER_197	DLBCL_RICOVER_208	DLBCL_RICOVER_215	DLBCL_RICOVER_216	DLBCL_RICOVER_221	DLBCL_RICOVER_224	DLBCL_RICOVER_253	DLBCL_RICOVER_258	DLBCL_RICOVER_266	DLBCL_RICOVER_267	DLBCL_RICOVER_269	DLBCL_RICOVER_274	DLBCL_RICOVER_288	DLBCL_RICOVER_290	DLBCL_RICOVER_299	DLBCL_RICOVER_314	DLBCL_RICOVER_320	DLBCL_RICOVER_325	DLBCL_RICOVER_335	DLBCL_RICOVER_336	DLBCL_RICOVER_338	DLBCL_RICOVER_342	DLBCL_RICOVER_361	DLBCL_RICOVER_384	DLBCL_RICOVER_401	DLBCL_RICOVER_408	DLBCL_RICOVER_417	DLBCL_RICOVER_431	DLBCL_RICOVER_440	DLBCL_RICOVER_449	DLBCL_RICOVER_451	DLBCL_RICOVER_463	DLBCL_RICOVER_467	DLBCL_RICOVER_469	DLBCL_RICOVER_473	DLBCL_RICOVER_478	DLBCL_RICOVER_496	DLBCL_RICOVER_506	DLBCL_RICOVER_522	DLBCL_RICOVER_533	DLBCL_RICOVER_543	DLBCL_RICOVER_554	DLBCL_RICOVER_575	DLBCL_RICOVER_577	DLBCL_RICOVER_583	DLBCL_RICOVER_585	DLBCL_RICOVER_597	DLBCL_RICOVER_617	DLBCL_RICOVER_623	DLBCL_RICOVER_632	DLBCL_RICOVER_678	DLBCL_RICOVER_685	DLBCL_RICOVER_692	DLBCL_RICOVER_694	DLBCL_RICOVER_701	DLBCL_RICOVER_704	DLBCL_RICOVER_711	DLBCL_RICOVER_712	DLBCL_RICOVER_720	DLBCL_RICOVER_744	DLBCL_RICOVER_763	DLBCL_RICOVER_773	DLBCL_RICOVER_780	DLBCL_RICOVER_787	DLBCL_RICOVER_822	DLBCL_RICOVER_826	DLBCL_RICOVER_829	DLBCL_RICOVER_839	DLBCL_RICOVER_850	DLBCL_RICOVER_865	DLBCL_RICOVER_866	DLBCL_RICOVER_910	DLBCL_RICOVER_945	DLBCL_RICOVER_948	DLBCL_RICOVER_950	DLBCL_RICOVER_956	DLBCL_RICOVER_977	DLBCL_RICOVER_978	DLBCL_RICOVER_985	DLBCL_RICOVER_99
FAS	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GABRA2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNA13	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0
GNAI2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRHPR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H1B	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0
HIST1H1C	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H1D	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
HIST1H1E	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0
HIST1H2AC	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
HIST1H2AM	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
HIST1H2BC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
HIST1H2BK	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
HIST1H3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
HIST2H2BE	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
